"","SibSp","Parch","Fare","fit_test"
"1",0,0,7.8292,"0"
"2",1,0,7,"0"
"3",0,0,9.6875,"1"
"4",0,0,8.6625,"0"
"5",1,1,12.2875,"1"
"6",0,0,9.225,"0"
"7",0,0,7.6292,"0"
"8",1,1,29,"1"
"9",0,0,7.2292,"0"
"10",2,0,24.15,"0"
"12",0,0,26,"0"
"13",1,0,82.2667,"0"
"14",1,0,26,"1"
"15",1,0,61.175,"0"
"16",1,0,27.7208,"0"
"17",0,0,12.35,"1"
"18",0,0,7.225,"0"
"19",1,0,7.925,"1"
"20",0,0,7.225,"0"
"21",1,0,59.4,"1"
"22",0,1,3.1708,"0"
"24",0,1,61.3792,"0"
"25",1,3,262.375,"0"
"26",1,0,14.5,"0"
"27",0,1,61.9792,"0"
"28",0,0,7.225,"0"
"29",0,0,30.5,"1"
"31",1,0,26,"1"
"32",2,0,31.5,"1"
"33",1,2,20.575,"0"
"35",1,0,57.75,"1"
"36",0,0,7.2292,"0"
"38",0,0,8.6625,"0"
"39",0,0,9.5,"0"
"41",0,1,13.4167,"1"
"43",0,0,7.85,"0"
"44",0,0,13,"0"
"45",1,0,52.5542,"1"
"46",0,0,7.925,"0"
"47",0,0,29.7,"0"
"49",0,0,76.2917,"1"
"50",0,2,15.9,"1"
"51",1,0,60,"1"
"52",0,0,15.0333,"0"
"53",2,1,23,"1"
"54",3,2,263,"1"
"56",4,1,29.125,"0"
"57",0,0,7.8958,"0"
"58",0,0,7.65,"0"
"60",0,0,262.375,"1"
"61",0,0,7.8958,"0"
"62",0,0,13.5,"0"
"63",0,0,7.75,"0"
"64",0,0,7.725,"1"
"65",2,2,262.375,"1"
"67",0,0,7.8792,"1"
"68",0,0,42.4,"0"
"69",0,0,28.5375,"0"
"70",1,4,263,"0"
"71",0,0,7.75,"0"
"72",0,0,7.8958,"0"
"73",0,0,7.925,"0"
"74",0,0,27.7208,"1"
"75",0,0,211.5,"1"
"76",0,0,211.5,"1"
"78",2,0,25.7,"1"
"79",0,0,13,"0"
"80",0,0,7.75,"0"
"81",1,1,15.2458,"0"
"82",1,0,221.7792,"1"
"83",0,0,26,"0"
"87",0,0,7.8792,"1"
"88",0,0,8.05,"0"
"90",1,1,23,"1"
"91",1,0,13.9,"1"
"93",1,2,52,"1"
"95",0,0,26,"0"
"96",0,0,7.7958,"0"
"97",1,0,78.85,"0"
"98",0,0,7.925,"0"
"99",0,0,7.8542,"0"
"100",0,0,8.05,"0"
"101",1,0,55.4417,"1"
"102",1,0,26,"1"
"104",0,0,7.775,"0"
"105",1,1,8.5167,"0"
"106",0,0,22.525,"0"
"107",0,0,7.8208,"0"
"110",0,0,13,"0"
"111",0,0,15.0458,"0"
"113",0,0,31.6792,"0"
"114",0,0,7.2833,"0"
"115",1,0,221.7792,"1"
"116",1,0,14.4542,"0"
"118",1,1,16.7,"1"
"119",0,0,75.2417,"1"
"120",1,0,26,"1"
"121",0,0,15.75,"1"
"123",1,0,57.75,"1"
"124",0,0,7.25,"0"
"126",0,1,16.1,"0"
"127",0,0,7.7958,"0"
"129",0,0,13,"0"
"130",0,0,8.05,"0"
"131",0,0,8.05,"0"
"132",0,0,28.5,"0"
"135",0,0,7.8958,"0"
"136",0,0,7.8542,"0"
"137",0,0,7.225,"0"
"138",0,0,13,"0"
"139",0,0,8.05,"0"
"140",1,6,46.9,"0"
"141",5,2,46.9,"0"
"142",0,0,151.55,"1"
"143",1,3,262.375,"0"
"144",0,0,26,"0"
"145",0,0,26.55,"1"
"146",3,0,18,"0"
"148",0,0,8.05,"0"
"150",1,1,26,"1"
"151",0,1,83.1583,"1"
"154",0,2,12.1833,"1"
"155",4,2,31.3875,"1"
"156",0,0,7.55,"0"
"157",0,0,221.7792,"1"
"158",0,0,7.8542,"0"
"159",0,0,26.55,"1"
"160",0,2,13.775,"1"
"162",1,1,15.2458,"0"
"163",0,0,13.5,"0"
"165",0,0,13,"0"
"166",1,1,22.025,"1"
"167",0,0,50.4958,"0"
"168",2,2,34.375,"0"
"170",0,0,8.9625,"0"
"172",0,0,7.225,"0"
"173",1,0,13.9,"1"
"175",1,5,31.3875,"1"
"176",0,2,39,"1"
"177",0,0,36.75,"1"
"178",1,0,55.4417,"1"
"179",0,3,39,"1"
"180",0,2,83.1583,"1"
"181",0,0,13,"0"
"182",1,1,83.1583,"1"
"183",1,0,53.1,"1"
"185",1,1,247.5208,"1"
"186",0,0,16,"1"
"187",0,1,21,"1"
"188",2,0,8.05,"0"
"190",0,0,13,"0"
"191",1,0,26,"1"
"193",1,1,14.5,"1"
"194",0,0,12.35,"1"
"195",0,2,32.5,"1"
"196",0,0,7.8542,"0"
"197",0,2,134.5,"1"
"198",0,0,7.775,"0"
"199",0,0,10.5,"0"
"202",0,2,14.4,"0"
"203",1,0,227.525,"1"
"204",1,1,26,"1"
"205",0,0,10.5,"0"
"207",0,0,7.75,"0"
"208",0,0,10.5,"0"
"209",0,0,27.7208,"0"
"210",0,0,7.8958,"0"
"211",0,0,22.525,"0"
"213",0,0,73.5,"0"
"214",1,0,26,"1"
"215",4,2,7.775,"1"
"216",0,0,42.5,"0"
"218",1,1,164.8667,"1"
"219",1,1,211.5,"1"
"221",1,0,13.8583,"1"
"222",0,0,8.05,"0"
"223",0,0,10.5,"0"
"224",0,0,7.7958,"0"
"225",0,0,27.4458,"1"
"227",0,0,7.7958,"0"
"229",0,0,15.1,"0"
"230",0,0,13,"0"
"231",0,0,65,"1"
"232",0,0,26.55,"1"
"233",1,0,6.4958,"0"
"235",1,0,71.2833,"1"
"236",0,0,7.8542,"0"
"237",1,0,75.25,"1"
"238",0,0,7.225,"0"
"239",1,1,13,"1"
"240",1,0,106.425,"0"
"241",0,0,27.7208,"0"
"242",0,2,30,"1"
"243",1,1,134.5,"1"
"246",1,0,51.8625,"0"
"247",0,0,21,"1"
"248",1,1,32.5,"1"
"249",1,0,26,"1"
"251",1,2,27.75,"1"
"252",0,0,7.925,"0"
"253",1,0,136.7792,"1"
